age,transaction_amount,account_balance,num_transactions_today,is_foreign_transaction,transaction_hour,prev_fraud_flag,merchant_distance_km,merchant_risk_score,is_fraud
58,491.12,13877.22,19,0,6,0,113.4,0.305,0
45,145.53,11528.87,19,0,17,0,145.99,0.1613,0
24,179.65,42291.9,12,0,16,0,209.85,0.4357,0
26,475.43,9040.31,14,0,16,0,485.97,0.1887,0
25,408.56,42041.15,14,0,17,0,397.53,0.3662,0
29,259.05,46804.43,15,0,6,0,100.15,0.0566,0
51,341.62,25802.59,15,0,8,0,59.63,0.3871,0
50,268.94,14567.66,14,0,8,0,329.59,0.0737,0
65,216.77,5105.43,15,0,0,0,201.11,0.1387,0
72,171.06,2763.16,5,0,2,0,343.45,0.4945,0
40,368.08,30292.4,11,0,9,0,273.55,0.2561,0
79,1916.95,2938.62,1,0,13,0,87.89,0.9319,1
41,126.69,49275.9,11,0,17,0,389.68,0.4277,0
54,249.09,11399.29,18,0,18,0,286.33,0.0136,0
52,176.1,47638.84,9,0,23,0,309.48,0.0495,0
61,191.2,41430.6,9,0,7,0,405.22,0.4575,0
57,491.07,13586.78,4,0,11,0,372.61,0.0592,0
39,335.89,21077.76,8,0,17,0,204.56,0.3277,0
44,320.26,49450.55,15,0,23,0,180.43,0.3189,0
52,50.55,12303.83,18,0,0,0,132.39,0.0161,0
18,360.27,24190.93,11,0,23,0,319.83,0.2968,0
52,113.84,32318.59,18,1,16,0,10.47,0.2641,0
54,108.37,35500.38,6,0,9,0,243.68,0.1793,0
64,415.55,22698.12,6,0,14,0,442.28,0.1424,0
31,171.58,11695.01,18,0,12,0,483.45,0.166,0
20,35.09,39129.91,2,0,22,0,54.53,0.2013,0
18,426.75,19436.88,10,0,11,0,212.31,0.171,0
22,382.15,45916.21,19,0,17,0,481.28,0.3315,0
43,312.86,18948.22,1,0,23,0,367.83,0.2987,0
72,20.62,19740.88,4,0,11,0,193.39,0.1978,0
31,222.38,37719.14,19,0,23,0,337.36,0.0568,0
56,420.46,16126.09,10,0,12,0,250.39,0.4022,0
44,246.15,34232.19,7,0,7,0,378.72,0.0571,0
26,102.58,38637.41,2,0,8,0,382.92,0.2363,0
32,349.15,17990.53,17,0,20,0,274.66,0.3964,0
32,8891.62,5644.53,10,0,18,0,416.26,0.8342,1
43,64.6,35525.52,1,0,3,0,238.27,0.429,0
59,358.22,36042.74,16,0,12,0,218.98,0.3883,0
77,492.72,39626.48,5,0,14,0,196.7,0.1425,0
30,125.86,12893.07,11,0,7,0,471.97,0.3173,0
68,428.19,12517.62,1,0,5,0,489.95,0.3853,0
49,254.08,20975.73,7,0,17,0,392.44,0.3603,0
56,75.2,42075.43,11,0,10,0,14.66,0.3686,0
66,6.24,20145.66,13,0,14,0,41.19,0.181,0
69,43.41,33036.68,1,0,7,0,343.81,0.4439,0
78,470.84,17606.4,16,0,8,0,448.79,0.4584,0
49,387.74,28588.08,14,0,0,0,334.18,0.2709,1
21,193.61,681.54,16,1,17,0,207.68,0.1892,0
47,478.58,23558.21,14,1,19,0,16.95,0.491,0
54,29.56,7504.39,1,0,0,0,134.51,0.1447,0
40,148.05,27306.52,7,0,16,0,1.05,0.1043,0
56,18.69,36387.7,8,0,3,0,417.35,0.1188,0
62,105.43,13322.32,1,0,12,0,441.12,0.3462,0
32,132.52,28794.0,13,0,21,0,37.21,0.2307,0
60,221.59,11590.26,4,0,19,0,254.91,0.387,0
46,452.26,34836.15,4,0,7,0,71.24,0.0626,0
53,337.14,36136.62,13,0,12,0,449.73,0.0712,0
30,255.34,12521.8,19,0,15,0,54.0,0.2167,0
49,11.77,15520.48,17,0,23,0,418.66,0.0873,0
24,11.09,14143.0,2,0,13,0,418.49,0.4245,0
76,61.87,13135.27,18,0,0,0,111.27,0.3016,0
68,322.3,4100.61,7,1,21,0,40.93,0.2514,0
39,194.67,49358.44,11,0,6,0,378.37,0.3121,0
45,237.62,46711.61,8,0,20,0,450.58,0.4458,0
19,5039.8,31381.05,4,0,3,0,207.57,0.7976,1
59,431.62,37345.56,10,0,11,0,434.51,0.4795,0
62,225.14,6521.7,7,0,19,0,319.69,0.0159,0
79,297.7,36539.19,9,0,21,0,431.81,0.0069,0
74,222.89,37791.73,7,0,17,1,349.47,0.1366,0
70,330.55,4931.47,10,0,17,0,355.75,0.237,0
23,66.87,39963.19,9,0,19,0,181.5,0.1181,0
45,70.9,5201.37,15,0,13,0,443.34,0.178,0
45,322.36,40197.51,5,0,0,0,386.55,0.2625,0
61,220.35,33410.33,16,0,20,0,343.4,0.4672,0
61,358.45,9177.71,9,0,6,0,467.2,0.4767,0
37,415.96,37325.24,2,0,1,0,469.04,0.0932,0
47,386.54,20821.52,3,0,12,0,346.04,0.2223,0
79,396.34,45202.21,12,0,5,0,460.97,0.0107,0
28,36.02,17063.7,4,0,15,0,23.22,0.3652,0
75,427.91,14857.65,12,0,17,0,268.7,0.4228,0
72,454.15,21698.79,5,0,0,0,119.36,0.1984,0
45,262.81,10313.01,1,0,19,0,93.1,0.174,1
42,278.45,8927.6,17,0,9,0,200.59,0.1165,0
56,98.05,21765.72,16,0,7,1,381.09,0.0591,0
79,320.24,29992.7,4,0,0,0,473.4,0.3838,0
50,207.39,25281.19,15,0,22,0,469.54,0.1787,0
18,4349.0,37735.05,10,0,12,0,150.69,0.8869,1
74,330.81,45817.46,3,0,1,0,66.35,0.3111,0
44,55.75,40545.66,8,0,5,0,39.01,0.1123,0
79,478.58,12458.96,13,0,18,0,323.51,0.2672,0
74,328.89,22946.9,2,0,13,0,336.33,0.0749,0
69,126.37,17963.2,7,0,5,0,402.93,0.4817,0
30,313.52,9842.41,2,1,18,0,248.78,0.0716,0
58,185.78,47774.04,11,0,8,0,135.8,0.0015,0
20,92.35,4612.04,5,0,6,0,110.22,0.1603,0
56,250.85,4003.66,7,0,12,0,460.37,0.2153,0
23,29.66,47477.9,6,0,4,0,367.42,0.3681,0
25,9279.58,13169.73,5,0,0,0,140.7,0.7654,1
44,18.02,14797.02,1,0,20,0,408.42,0.3736,0
26,194.22,34438.31,12,0,2,0,154.48,0.4433,0
79,336.83,9894.62,14,0,8,0,496.73,0.3385,0
54,179.34,18924.66,14,0,16,0,159.35,0.3295,0
50,236.25,3785.82,3,0,16,0,489.55,0.0381,0
68,144.41,30616.09,11,0,18,0,245.81,0.1355,0
59,346.52,20576.59,5,0,2,0,345.11,0.1535,0
61,5507.4,11372.27,13,0,19,0,495.57,0.731,1
41,487.74,33383.96,10,0,3,0,281.5,0.0301,0
32,9.73,11609.64,9,0,23,0,2.68,0.394,0
76,5411.42,34390.99,2,0,8,0,234.31,0.7991,1
71,492.71,24253.35,14,0,12,0,19.29,0.3598,0
49,163.98,49240.87,9,0,1,0,389.0,0.4409,0
49,129.64,4866.33,17,0,17,0,483.85,0.349,0
41,261.69,1556.54,1,0,9,0,309.06,0.386,0
58,421.59,9512.5,11,0,16,0,396.9,0.3108,0
69,328.24,44972.97,18,0,22,0,462.25,0.2266,0
66,349.14,48222.71,8,0,16,0,299.57,0.1108,0
79,313.74,36987.26,16,0,3,0,184.07,0.4896,0
66,2922.39,41700.72,6,1,16,1,274.5,0.8486,1
75,312.85,5788.75,3,0,14,0,288.49,0.2598,0
69,276.75,17475.99,18,0,14,0,251.45,0.291,0
29,96.63,35100.07,14,0,20,0,408.28,0.3415,0
79,245.49,21477.55,8,0,22,0,48.59,0.0491,0
56,258.6,16929.44,16,0,4,0,319.05,0.3182,0
19,77.25,15357.09,16,0,11,0,493.77,0.2746,0
20,391.9,2449.93,14,0,10,0,118.14,0.3767,0
66,168.22,10614.62,14,1,7,0,334.36,0.202,0
54,327.27,32702.75,4,0,22,0,109.29,0.2632,0
66,196.54,6687.84,19,1,22,0,82.27,0.2904,0
73,16.23,7893.08,4,0,20,0,366.51,0.0482,0
34,109.51,34911.12,13,0,2,0,383.02,0.0192,0
76,108.53,8250.63,15,1,4,0,284.4,0.0624,0
66,52.53,11345.72,18,0,21,0,263.57,0.1251,0
19,163.26,3826.94,10,0,21,0,216.48,0.1852,0
19,402.86,31947.29,7,0,22,0,181.24,0.3701,0
45,437.66,39177.8,12,0,14,0,346.1,0.4841,0
71,250.41,29102.02,5,0,15,0,76.18,0.4295,0
40,8744.79,12825.74,19,0,2,0,365.49,0.762,1
54,463.98,35300.07,18,0,1,0,104.49,0.1695,0
49,388.74,25984.0,3,1,16,0,5.5,0.0081,0
50,292.99,7004.19,19,0,5,0,387.98,0.2431,0
18,208.0,9326.41,18,0,17,0,173.18,0.4277,0
36,324.43,2510.7,9,0,18,0,264.44,0.0584,0
79,328.13,1809.84,7,0,6,0,189.64,0.0318,0
19,88.62,8481.65,12,0,8,0,301.9,0.1596,0
70,461.63,34687.74,8,0,8,0,4.56,0.0295,0
61,159.85,15454.94,16,0,11,0,415.57,0.2851,0
43,367.45,20210.38,8,0,10,0,278.53,0.485,0
49,454.41,37847.55,17,0,2,0,132.42,0.4716,0
23,184.01,6477.5,18,1,16,0,77.8,0.0598,0
49,492.08,27209.24,4,0,20,0,396.24,0.2621,0
72,293.1,44125.58,12,1,7,0,215.5,0.3096,0
21,170.99,41924.93,17,0,13,0,356.81,0.2354,0
72,72.15,17871.85,3,0,17,0,31.61,0.486,0
28,403.57,19440.88,14,0,3,0,454.96,0.471,0
73,417.57,24783.71,4,0,4,0,430.89,0.2934,0
76,424.9,28351.9,15,1,7,0,99.49,0.0653,0
34,32.93,31032.8,14,1,7,0,43.04,0.0718,0
55,380.39,6903.78,12,0,0,0,403.38,0.4745,0
41,5.54,29834.4,15,1,8,0,399.57,0.296,0
22,9.42,25061.92,19,0,22,0,351.13,0.0713,0
69,497.82,905.67,16,0,11,0,282.0,0.1395,0
51,127.81,15108.9,17,0,23,0,34.8,0.1342,0
23,1898.87,27708.46,10,0,16,0,72.92,0.7676,0
39,266.55,41147.42,15,0,16,0,413.5,0.0361,0
28,269.29,13251.17,14,0,7,0,382.99,0.1559,0
65,359.7,2380.98,10,0,10,0,472.18,0.0782,0
33,454.88,33963.22,1,0,17,0,472.08,0.3641,0
50,471.53,389.08,6,0,20,0,347.62,0.0476,0
26,123.46,49367.18,5,0,23,0,494.58,0.3475,0
77,8239.27,7205.4,9,0,10,0,410.52,0.921,1
76,291.96,22481.08,1,0,22,0,149.23,0.3546,0
23,324.4,7826.93,9,0,19,0,203.78,0.0507,0
33,444.35,23185.95,1,0,4,0,347.23,0.0087,0
46,298.51,31513.69,14,0,8,0,276.98,0.2555,0
20,467.45,48420.82,3,1,19,0,153.66,0.2876,0
37,127.79,11757.38,1,0,2,0,210.21,0.4178,0
77,492.6,25127.35,1,0,0,0,0.41,0.3047,0
76,124.82,12767.21,5,0,18,0,300.38,0.4119,0
53,406.94,6753.39,7,0,17,0,222.48,0.2571,0
36,279.19,39706.43,13,0,17,0,196.16,0.3839,0
43,281.11,189.8,3,0,0,0,141.45,0.4471,1
20,326.88,14119.37,15,0,6,0,458.52,0.1586,0
36,61.66,2807.83,19,0,6,0,58.01,0.1138,0
37,76.56,950.31,11,0,14,0,84.17,0.3519,0
49,101.66,28083.13,5,0,17,0,150.51,0.1946,0
24,232.95,37447.9,1,0,22,0,40.61,0.2137,0
69,337.59,26969.09,17,0,11,0,0.15,0.2834,0
58,287.03,35832.98,6,0,4,0,464.21,0.1995,0
50,238.18,39942.6,9,1,10,0,494.37,0.2926,0
57,6941.91,23763.42,2,0,15,0,235.38,0.8961,1
56,7.22,23107.13,3,0,3,0,493.19,0.1647,0
35,384.82,8032.16,5,0,7,0,17.63,0.2442,0
57,167.56,33471.13,9,0,2,0,315.72,0.3626,0
18,371.89,10805.78,10,0,16,0,429.09,0.3867,0
28,371.68,31892.35,9,0,14,0,8.71,0.0554,0
45,254.11,39362.87,6,0,6,0,329.1,0.4687,0
74,252.01,22443.95,7,0,20,0,472.35,0.1435,0
42,283.61,30458.96,5,0,8,0,110.63,0.1045,0
67,225.4,11246.99,15,0,13,0,283.69,0.4443,0
40,49.44,43388.71,8,0,14,0,352.57,0.0471,0
48,416.18,31441.94,9,0,7,0,435.11,0.4087,0
47,382.23,26068.32,14,0,7,0,31.9,0.39,0
59,286.45,26411.0,16,0,13,0,446.15,0.3382,0
52,220.24,29488.33,8,0,2,0,252.39,0.1065,0
24,100.78,31201.97,16,0,19,0,428.06,0.0632,0
77,354.02,30509.83,9,0,10,0,236.27,0.0861,0
33,211.29,34229.74,16,1,15,0,257.66,0.2375,0
43,174.7,36383.27,18,1,20,0,13.51,0.2764,0
65,204.67,11563.3,1,0,13,0,134.19,0.0026,0
74,423.45,40159.05,15,0,16,0,393.04,0.3689,0
69,373.03,39512.64,8,0,16,0,196.54,0.4535,0
77,71.32,5672.96,13,0,12,0,160.88,0.3783,0
66,224.55,22435.03,15,0,7,0,17.99,0.1219,0
19,476.33,31870.04,7,0,6,0,211.91,0.4045,0
18,94.7,2829.88,10,0,15,0,8.54,0.3858,0
65,396.73,43939.41,13,0,7,0,158.75,0.0623,0
79,361.81,13380.33,14,0,13,0,296.08,0.2609,0
29,405.25,14886.22,18,0,18,0,326.0,0.1836,0
22,2042.94,38161.57,16,0,7,0,185.63,0.8384,1
54,447.09,35593.32,15,1,22,1,359.69,0.4598,0
49,492.85,48728.25,8,0,8,0,416.97,0.03,0
76,163.05,19544.26,15,0,23,0,236.06,0.1875,1
72,152.54,23685.77,16,0,12,0,315.98,0.2705,0
26,121.39,39570.97,5,0,17,0,74.76,0.3131,0
58,6339.22,41379.44,13,0,16,0,26.27,0.7426,1
52,147.12,3519.29,11,0,21,0,460.5,0.26,0
36,157.05,7077.68,6,0,0,0,468.09,0.4829,0
65,4086.62,25105.99,13,0,19,0,12.76,0.7865,1
33,391.13,30901.06,8,0,14,0,304.42,0.0233,0
20,93.46,47491.34,1,0,9,0,382.92,0.1647,0
37,1949.86,17771.46,11,0,23,0,187.16,0.758,1
41,7117.55,28667.02,17,0,14,0,162.88,0.764,1
71,209.13,32536.74,2,0,10,0,284.89,0.4815,0
73,483.95,14159.45,9,0,3,0,66.53,0.2545,0
50,101.91,47126.73,16,0,19,0,20.44,0.4651,0
41,207.85,11128.8,7,0,16,0,299.86,0.403,0
69,314.06,760.4,15,0,6,0,367.0,0.23,0
28,2766.93,28943.39,7,0,15,0,397.15,0.735,1
66,409.38,31728.07,2,0,4,0,482.34,0.2739,0
25,157.49,30017.18,7,0,16,0,495.31,0.2192,0
53,262.14,12595.43,17,0,8,0,250.83,0.1298,0
55,234.22,41071.59,3,0,14,0,391.12,0.3402,0
57,104.14,5917.15,2,0,19,0,295.61,0.026,0
37,317.45,2117.25,10,0,1,0,450.3,0.4979,0
79,303.95,12817.91,2,1,10,0,99.9,0.1841,0
52,266.4,23845.84,16,0,3,0,217.51,0.368,0
65,462.21,42869.99,8,0,12,0,105.53,0.3671,0
79,97.83,10825.19,11,0,18,0,230.51,0.3882,0
42,2185.55,40762.5,6,0,11,0,217.08,0.7041,1
52,280.35,29935.29,12,1,17,0,203.72,0.4666,0
42,429.84,38004.15,6,0,5,0,306.6,0.4261,0
46,163.6,22232.74,4,0,13,0,320.87,0.1712,0
35,103.94,1681.22,19,0,9,0,312.05,0.1054,0
63,259.11,11251.59,16,0,17,0,182.78,0.1837,0
35,295.73,15161.3,8,1,21,0,462.26,0.1112,0
19,212.33,3907.62,6,0,16,0,175.1,0.0758,0
71,50.34,7941.84,17,0,12,0,478.33,0.0172,0
52,297.44,6754.85,11,0,16,0,20.79,0.1793,0
33,362.29,7457.06,5,0,23,0,495.6,0.316,0
78,495.09,31595.76,7,0,9,0,214.05,0.4362,0
58,206.41,19541.79,19,1,22,0,457.79,0.4021,0
53,361.39,36815.66,16,1,15,0,437.41,0.3308,0
50,243.51,32375.54,10,0,9,0,16.98,0.496,0
21,435.44,6753.19,10,0,5,0,151.34,0.2465,0
50,304.17,22545.93,16,0,0,0,190.04,0.0609,0
31,164.16,21078.7,12,0,22,0,446.35,0.2935,0
38,15.78,26503.62,13,0,11,0,257.33,0.0352,0
65,233.76,42535.04,5,0,11,0,124.44,0.2494,0
37,439.23,14463.65,11,0,12,0,186.95,0.1533,0
73,291.6,26758.12,3,0,14,0,79.44,0.2874,0
25,451.24,18978.82,15,0,10,0,393.59,0.4039,0
24,19.76,44591.89,17,0,4,0,300.74,0.4061,0
20,96.24,12302.83,11,0,1,0,296.45,0.4383,0
34,117.1,15715.26,4,0,22,0,230.14,0.3173,0
50,3971.09,23838.71,10,0,3,0,331.17,0.98,1
65,378.52,16611.16,12,0,0,0,108.69,0.1742,0
29,354.66,38321.02,7,0,4,0,356.74,0.1656,0
76,265.34,42630.52,5,1,14,0,240.59,0.455,0
68,210.96,26247.5,1,0,22,0,44.06,0.3281,0
39,313.66,16291.47,18,0,21,0,281.26,0.3255,0
72,229.68,32599.07,1,0,22,0,272.71,0.0036,0
39,33.79,21425.4,15,0,10,0,303.5,0.003,0
63,179.24,30485.04,10,0,18,0,455.58,0.2884,1
47,2022.32,33927.71,19,0,19,0,348.38,0.8084,1
55,119.36,38439.57,14,0,1,0,193.76,0.4126,0
55,345.88,31054.14,8,0,22,0,50.76,0.4976,0
62,39.19,30730.67,14,0,22,0,488.55,0.1792,0
68,274.71,49432.13,2,0,16,0,109.17,0.2712,0
71,299.34,13595.38,6,0,7,0,497.44,0.1955,0
25,26.54,23812.45,1,0,1,0,170.37,0.3811,0
44,363.68,13811.69,19,0,4,0,433.69,0.2073,0
44,210.06,43860.27,1,0,23,0,469.86,0.3338,0
51,236.96,43331.95,5,0,20,0,228.69,0.349,0
38,384.74,2619.92,1,0,2,0,248.52,0.0551,0
47,426.47,34462.38,18,0,22,0,244.62,0.4761,0
50,27.03,46537.71,12,0,0,0,424.23,0.2429,0
45,76.34,41340.05,14,0,3,0,29.54,0.1387,0
64,6869.1,32986.1,3,0,23,0,44.57,0.7713,1
50,377.66,15808.64,12,0,17,0,355.59,0.1927,0
22,165.82,23686.93,1,0,12,0,243.05,0.4818,0
77,121.26,1925.54,13,0,16,0,263.32,0.3558,0
78,168.97,11998.69,14,0,17,0,62.49,0.4651,0
65,1203.96,47040.29,12,0,18,0,467.02,0.9168,1
36,440.95,24707.47,9,0,5,0,178.28,0.3898,0
21,381.96,8093.25,14,0,1,0,196.01,0.2129,0
52,364.3,32387.6,11,0,12,0,470.78,0.1784,0
66,61.97,6880.15,18,0,0,0,345.32,0.334,0
34,211.3,24450.81,10,0,14,0,346.5,0.0645,0
61,99.59,42193.64,8,0,5,0,166.47,0.2592,0
45,70.52,33406.1,1,0,6,0,106.31,0.1185,0
47,499.39,30890.03,13,0,12,0,298.92,0.3801,0
